AC,DC
230.17,483.5
221.194,445.7
214.031,445.7
207.737,359.1
152.329,325.2
137.887,320.5
131.344,295.3
128.907,227.6
129.25,214.2
128.792,204.8
128.615,207.9
128.096,212.6
128.371,222.9
128.293,218.9
128.085,251.2
182.143,304.8
206.346,333.1
211.626,395.3
218.714,407.1
218.892,400.1
223.985,394.5
216.564,390.6
209.143,391.4
201.722,388.2
213.818,393
216.515,377.2
209.809,378
200.874,311.9
140.03,296.1
125.932,276.4
125.829,257.5
120.461,231.5
117.059,217.4
114.2,215
113.189,218.1
113.656,216.6
113.744,227.6
125.025,232.3
136.306,257.5
147.587,319.7
178.721,380.4
186.521,441
204.517,462.3
208.954,495.3
206.632,474.9
208.571,478
208.112,470.9
209.077,463.1
199.773,446.5
200.644,427.6
191.249,419.7
183.205,353.6
130.524,328.4
134.4073333,316.6
138.2906667,280.4
142.174,226.8
185.597,215.8
175.519,214.2
181.966,213.4
173.774,213.4
176.587,213.4
173.112,213.4
180.201,217.4
172.74,219.7
177.793,210.3
177.283,225.2
191.526,241.8
193.516,254.4
200.382,260.7
201.321,259.1
203.887,263
206.199,238.6
205.087,221.3
206.146,222.1
202.326,233.9
200.976,245.7
143.544,241
119.065,226.8
119.489,230.7
118.423,207.9
119.395,201.6
118.846,200
118.241,202.4
129.0543333,202.4
139.8676667,202.4
150.681,200
192.709,209.5
190.171,211.1
183.387,196.9
189.236,186.6
194.545,192.9
191.819,195.3
192.658,196.1
191.015,196.1
194.894,189.8
194.906,195.3
196.714,207.1
195.97,206.3
196.082,212.6
192.386,227.6
190.189,226.8
194.337,226
189.505,226.8
194.522,222.9
191.243,218.9
190.861,216.6
191.438,222.1
186.852,220.5
188.477,218.1
180.973,223.7
187.864,267.8
186.137,333.1
197.63,389.8
200.819,429.2
230.306,449.7
237.103,461.5
231.187,473.3
234.664,462.3
233.896,463.8
234.516,463.1
235.216,444.9
230.293,430
221.373,430
212.603,357.5
149.853,327.6
129.064,312.6
123.934,295.3
123.837,222.1
123.708,208.7
121.845,207.9
123.086,207.1
129.0783333,210.3
135.0706667,218.1
141.063,227.6
202.168,249.6
201.482,305.6
201.581,395.3
219.993,433.1
231.901,466.2
240.841,465.4
250.399,470.1
254.252,469.4
249.354,471.7
251.323,507.2
253.55,456
244.842,444.2
231.616,437.1
217.917,348.1
154.859,323.7
133.229,311.9
131.354,286.7
130.443,236.3
130.126,208.7
129.616,208.7
130.783,211.8
125.69,210.3
125.16,211.1
124.373,211.1
124.631,244.9
180.551,313.4
204.742,391.4
223.125,457.5
235.865,552
237.186,564.6
247.292,565.4
247.349,567
243.262,536.3
243.679,498.5
238.889,453.6
230.058,435.5
222.284,427.6
213.653,354.4
156.265,322.9
135.287,317.4
129.625,294.5
129.136,225.2
128.242,215.8
129.156,211.8
127.279,209.5
126.862,215
124.166,214.2
124.607,214.2
123.975,238.6
180.845,327.6
206.269,389
217.036,448.9
235.164,525.3
242.594,539.4
246.383,512.7
248.537,480.4
250.283,465.4
251.164,465.4
243.05,462.3
234.98,434.7
222.06,423.7
210.773,359.1
152.223,327.6
136.19,317.4
134.351,288.2
131.206,222.9
125.846,214.2
124.266,210.3
125.052,208.7
125.132,213.4
125.14,218.9
125.837,226.8
127.349,249.6
180.301,312.6
199.99,370.1
208.273,441.8
224.381,481.2
231.444,493
244.22,470.1
243.783,464.6
245.768,457.5
242.263,474.9
234.281,442.6
224.28,426.8
217.475,413.4
211.752,351.2
152.455,319.7
136.729,300
136.084,260.7
137.32,215.8
137.521,207.9
134.917,207.1
135.343,211.1
135.909,209.5
134.723,209.5
132.572,208.7
131.404,217.4
180.023,216.6
196.184,206.3
194.1,221.3
201.273,231.5
203.019,233.9
206.249,226.8
208.913,230
213.222,229.2
210.926,226
210.566,215.8
208.841,202.4
208.732,207.9
205.613,218.9
153.843,209.5
133.491,213.4
127.401,209.5
127.999,192.2
128.318,182.7
125.15,185.9
124.744,190.6
124.444,192.9
125.368,192.9
124.969,195.3
124.351,197.7
123.264,206.3
123.016,189.8
